sample_accession	secondary_sample_accession	run_accession	fastq_ftp
SAMN00194031	SRS155653	SRR094978	ftp.sra.ebi.ac.uk/vol1/fastq/SRR094/SRR094978/SRR094978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR094/SRR094978/SRR094978_2.fastq.gz
SAMN00194031	SRS155653	SRR094979	ftp.sra.ebi.ac.uk/vol1/fastq/SRR094/SRR094979/SRR094979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR094/SRR094979/SRR094979_2.fastq.gz
SAMN00194143	SRS155760	SRR094980	ftp.sra.ebi.ac.uk/vol1/fastq/SRR094/SRR094980/SRR094980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR094/SRR094980/SRR094980_2.fastq.gz
SAMN00194143	SRS155760	SRR094981	ftp.sra.ebi.ac.uk/vol1/fastq/SRR094/SRR094981/SRR094981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR094/SRR094981/SRR094981_2.fastq.gz
SAMN00194144	SRS155761	SRR095680	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095680/SRR095680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095680/SRR095680_2.fastq.gz
SAMN00194144	SRS155761	SRR095681	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095681/SRR095681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095681/SRR095681_2.fastq.gz
SAMN00194144	SRS155761	SRR095682	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095682/SRR095682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095682/SRR095682_2.fastq.gz
SAMN00194145	SRS155762	SRR095683	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095683/SRR095683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095683/SRR095683_2.fastq.gz
SAMN00194145	SRS155762	SRR095684	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095684/SRR095684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095684/SRR095684_2.fastq.gz
SAMN00194146	SRS155763	SRR095685	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095685/SRR095685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095685/SRR095685_2.fastq.gz
SAMN00194146	SRS155763	SRR095686	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095686/SRR095686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095686/SRR095686_2.fastq.gz
SAMN00194146	SRS155763	SRR095687	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095687/SRR095687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095687/SRR095687_2.fastq.gz
SAMN00194147	SRS155764	SRR095688	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095688/SRR095688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095688/SRR095688_2.fastq.gz
SAMN00194147	SRS155764	SRR095689	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095689/SRR095689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095689/SRR095689_2.fastq.gz
SAMN00194147	SRS155764	SRR095690	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095690/SRR095690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095690/SRR095690_2.fastq.gz
SAMN00194148	SRS155765	SRR095691	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095691/SRR095691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095691/SRR095691_2.fastq.gz
SAMN00194148	SRS155765	SRR095692	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095692/SRR095692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095692/SRR095692_2.fastq.gz
SAMN00194149	SRS155766	SRR095693	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095693/SRR095693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095693/SRR095693_2.fastq.gz
SAMN00194149	SRS155766	SRR095694	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095694/SRR095694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095694/SRR095694_2.fastq.gz
SAMN00194150	SRS155767	SRR095695	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095695/SRR095695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095695/SRR095695_2.fastq.gz
SAMN00194150	SRS155767	SRR095696	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095696/SRR095696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095696/SRR095696_2.fastq.gz
SAMN00194150	SRS155767	SRR095697	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095697/SRR095697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095697/SRR095697_2.fastq.gz
SAMN00194151	SRS155768	SRR095698	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095698/SRR095698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095698/SRR095698_2.fastq.gz
SAMN00194151	SRS155768	SRR095699	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095699/SRR095699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095699/SRR095699_2.fastq.gz
SAMN00194153	SRS155770	SRR095700	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095700/SRR095700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095700/SRR095700_2.fastq.gz
SAMN00194153	SRS155770	SRR095701	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095701/SRR095701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095701/SRR095701_2.fastq.gz
SAMN00194154	SRS155771	SRR095702	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095702/SRR095702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095702/SRR095702_2.fastq.gz
SAMN00194154	SRS155771	SRR095703	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095703/SRR095703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095703/SRR095703_2.fastq.gz
SAMN00194155	SRS155772	SRR095704	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095704/SRR095704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095704/SRR095704_2.fastq.gz
SAMN00194155	SRS155772	SRR095705	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095705/SRR095705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095705/SRR095705_2.fastq.gz
SAMN00194155	SRS155772	SRR095706	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095706/SRR095706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095706/SRR095706_2.fastq.gz
SAMN00194155	SRS155772	SRR095707	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095707/SRR095707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095707/SRR095707_2.fastq.gz
SAMN00194156	SRS155773	SRR095708	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095708/SRR095708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095708/SRR095708_2.fastq.gz
SAMN00194156	SRS155773	SRR095709	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095709/SRR095709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095709/SRR095709_2.fastq.gz
SAMN00194157	SRS155774	SRR095710	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095710/SRR095710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095710/SRR095710_2.fastq.gz
SAMN00194157	SRS155774	SRR095711	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095711/SRR095711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095711/SRR095711_2.fastq.gz
SAMN00194158	SRS155775	SRR095712	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095712/SRR095712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095712/SRR095712_2.fastq.gz
