Sample Name	Run	Experiment	spots	bases	spots_with_mates	avgLength	size_MB	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	Platform	Model	SRAStudy	BioProject	Sample	BioSample
Agu-1	SRR094978	SRX038877	15143468	1938363904	15143468	128	1406	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155653	SAMN00194031
Agu-1	SRR094979	SRX038877	10564476	1352252928	10564476	128	714	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155653	SAMN00194031
Bak-2	SRR094980	SRX040763	17804802	1495603368	17804802	84	1297	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155760	SAMN00194143
Bak-2	SRR094981	SRX039049	12936436	1655863808	12936436	128	918	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155760	SAMN00194143
Bak-7	SRR095682	SRX040764	14439824	1848297472	14439824	128	1430	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155761	SAMN00194144
Bak-7	SRR095680	SRX039050	7449109	625725156	7449109	84	511	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155761	SAMN00194144
Bak-7	SRR095681	SRX039050	19906130	1672114920	19906130	84	1349	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155761	SAMN00194144
Cdm-0	SRR095683	SRX040765	16048541	1348077444	16048541	84	1097	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155762	SAMN00194145
Cdm-0	SRR095684	SRX039051	18368167	2351125376	18368167	128	1960	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155762	SAMN00194145
Del-10	SRR095685	SRX040766	7155335	601048140	7155335	84	429	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155763	SAMN00194146
Del-10	SRR095686	SRX039052	12088504	1547328512	12088504	128	1155	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155763	SAMN00194146
Del-10	SRR095687	SRX039052	6487268	830370304	6487268	128	485	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155763	SAMN00194146
Dog-4	SRR095688	SRX040791	9459935	794634540	9459935	84	657	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155764	SAMN00194147
